EPIC,Name,Current price (p),Day change,Day change.1,Unnamed: 5
III,3i Group Plc,3421.0,-9.0,-0.26%,Deal
ADM,Admiral Group,2842.0,0.0,0.00%,Deal
AAF,Airtel Africa plc,357.6,11.0,+3.17%,Deal
ALW,Alliance Witan plc,1278.0,8.0,+0.63%,Deal
AAL,Anglo American Plc,3661.0,162.0,+4.63%,Deal
ANTO,Antofagasta plc,4000.0,383.0,+10.59%,Deal
AHT,Ashtead Group plc,5106.0,-14.0,-0.27%,Deal
ABF,Associated British Foods plc,1967.0,17.5,+0.90%,Deal
AZN,AstraZeneca plc,15542.0,20.0,+0.13%,Deal
AUTO,Autotrader Group Plc,471.5,8.4,+1.81%,Deal
AV.,Aviva Plc,643.2,9.2,+1.45%,Deal
BAB,Babcock International Group,1376.0,25.0,+1.85%,Deal
BA.,BAE Systems plc,2110.0,81.0,+3.99%,Deal
BARC,Barclays plc,486.05,12.1,+2.55%,Deal
BTRW,Barratt Redrow Plc,385.9,0.3,+0.08%,Deal
BEZ,Beazley plc,1211.0,-1.0,-0.08%,Deal
BKG,Berkeley Group Holdings plc,4326.0,10.0,+0.23%,Deal
BP.,BP Plc,469.5,9.05,+1.97%,Deal
BATS,British American Tobacco plc,4344.0,20.0,+0.46%,Deal
BLND,British Land Co plc,413.0,-2.2,-0.53%,Deal
BT.A,BT Group plc,203.3,-5.1,-2.45%,Deal
BNZL,Bunzl plc,2128.0,8.0,+0.38%,Deal
BRBY,Burberry Group plc,1181.0,5.5,+0.47%,Deal
CNA,Centrica plc,196.0,-0.4,-0.20%,Deal
CCEP,Coca-Cola Europacific Partners Plc,7750.0,60.0,+0.78%,Deal
CCH,Coca-Cola HBC AG,4736.0,12.0,+0.25%,Deal
CPG,Compass Group plc,2180.0,69.0,+3.27%,Deal
CTEC,ConvaTec Group Plc,230.8,2.0,+0.87%,Deal
CRDA,Croda International plc,2971.0,-14.0,-0.47%,Deal
DCC,DCC plc,5200.0,-30.0,-0.57%,Deal
DGE,Diageo plc,1761.0,-35.0,-1.95%,Deal
DPLM,Diploma plc,5620.0,120.0,+2.18%,Deal
EZJ,easyJet plc,492.3,1.0,+0.20%,Deal
EDV,Endeavour Mining plc,4702.0,192.0,+4.26%,Deal
ENT,Entain plc,589.4,12.8,+2.22%,Deal
EXPN,Experian Plc,2551.0,21.0,+0.83%,Deal
FCIT,F&C Investment Trust plc,1286.0,15.0,+1.18%,Deal
FRES,Fresnillo,3912.0,178.0,+4.77%,Deal
GAW,Games Workshop Group,17020.0,110.0,+0.65%,Deal
GLEN,Glencore plc,507.7,21.7,+4.47%,Deal
GSK,GSK plc,2268.0,29.0,+1.30%,Deal
HLN,Haleon plc,410.9,2.0,+0.49%,Deal
HLMA,Halma plc,3962.0,58.0,+1.49%,Deal
HIK,Hikma Pharmaceuticals,1630.0,30.0,+1.88%,Deal
HSX,Hiscox Ltd,1455.0,-5.0,-0.34%,Deal
HWDN,Howden Joinery Group Plc,869.0,6.0,+0.70%,Deal
HSBA,HSBC Holdings plc,1297.8,27.6,+2.17%,Deal
ICG,ICG Plc,1753.0,33.0,+1.92%,Deal
IMI,IMI plc,2874.0,32.0,+1.13%,Deal
IMB,Imperial Brands Group,3251.0,16.0,+0.49%,Deal
INF,Informa plc,825.2,4.2,+0.51%,Deal
IHG,InterContinental Hotels Group plc,145.05,-1.05,-0.72%,Deal
IAG,International Consolidated Airlines Group SA,442.2,-2.8,-0.63%,Deal
ITRK,Intertek Group plc,4506.0,40.0,+0.90%,Deal
JD.,JD Sports Fashion plc,79.34,-0.2,-0.25%,Deal
KGF,Kingfisher,361.0,-0.1,-0.03%,Deal
LAND,Land Securities Group plc,658.0,-8.0,-1.20%,Deal
LGEN,Legal & General Group plc,271.7,-3.6,-1.31%,Deal
LLOY,Lloyds Banking Group plc,104.6,1.85,+1.80%,Deal
LSEG,London Stock Exchange Group plc,7790.0,218.0,+2.88%,Deal
LMP,LondonMetric Property plc,211.8,0.4,+0.19%,Deal
MNG,M&G plc,318.8,2.4,+0.76%,Deal
MKS,Marks & Spencer Group plc,397.1,2.3,+0.58%,Deal
MRO,Melrose Industries plc,681.8,12.0,+1.79%,Deal
MTLN,Metlen Energy & Metals Plc,36.15,0.1,+0.28%,Deal
MNDI,Mondi plc,924.4,9.2,+1.01%,Deal
NG.,National Grid,1348.5,-28.0,-2.03%,Deal
NWG,NatWest Group plc,630.0,15.8,+2.57%,Deal
NXT,Next plc,13020.0,25.0,+0.19%,Deal
PSON,Pearson plc,927.8,-2.0,-0.22%,Deal
PSH,Pershing Square Holdings Ltd,4486.0,48.0,+1.08%,Deal
